#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  GO: http://purl.obolibrary.org/obo/GO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  MP: http://purl.obolibrary.org/obo/MP_
#  OBA: http://purl.obolibrary.org/obo/OBA_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/eva-clinvar.sssom.tsv
#mapping_set_description: EVA ClinVar disease mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/eva
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
1-2 finger syndactyly	disease	skos:closeMatch	HP:0006101	semapv:ManualMappingCuration	eva	2030-07-25
11q partial monosomy syndrome	disease	skos:closeMatch	MONDO:0007838	semapv:ManualMappingCuration	eva	2030-07-25
14q11.2 microduplication syndrome	disease	skos:closeMatch	MONDO:0016835	semapv:ManualMappingCuration	eva	2030-07-25
15q11q13 microduplication syndrome	disease	skos:closeMatch	MONDO:0012081	semapv:ManualMappingCuration	eva	2030-07-25
15q13.3 microdeletion syndrome	disease	skos:closeMatch	ORPHA:199318	semapv:ManualMappingCuration	eva	2030-07-25
15q14 microdeletion syndrome	disease	skos:closeMatch	MONDO:0014822	semapv:ManualMappingCuration	eva	2030-07-25
16p11.2 deletion syndrome	disease	skos:closeMatch	ORPHA:261197	semapv:ManualMappingCuration	eva	2030-07-25
16p11.2 duplication syndrome	disease	skos:closeMatch	MONDO:0013847	semapv:ManualMappingCuration	eva	2030-07-25
16p11.2p12.2 microduplication syndrome	disease	skos:closeMatch	MONDO:0016834	semapv:ManualMappingCuration	eva	2030-07-25
16p13.11 microdeletion syndrome	disease	skos:closeMatch	MONDO:0016836	semapv:ManualMappingCuration	eva	2030-07-25
16p13.11 microduplication syndrome	disease	skos:closeMatch	MONDO:0016837	semapv:ManualMappingCuration	eva	2030-07-25
16q24.3 microdeletion syndrome	disease	skos:closeMatch	MONDO:0016838	semapv:ManualMappingCuration	eva	2030-07-25
17,20-lyase deficiency, isolated	disease	skos:closeMatch	MONDO:0800378	semapv:ManualMappingCuration	eva	2030-07-25
17-alpha-hydroxylase/17,20-lyase deficiency, combined complete	disease	skos:closeMatch	MONDO:0800379	semapv:ManualMappingCuration	eva	2030-07-25
17-alpha-hydroxylase/17,20-lyase deficiency, combined partial	disease	skos:closeMatch	MONDO:0800380	semapv:ManualMappingCuration	eva	2030-07-25
17p11.2 microduplication syndrome	disease	skos:closeMatch	MONDO:0012574	semapv:ManualMappingCuration	eva	2030-07-25
1q21.1 recurrent microdeletion	disease	skos:closeMatch	ORPHA:250989	semapv:ManualMappingCuration	eva	2030-07-25
2,4-dienoyl-coa reductase deficiency	disease	skos:closeMatch	MONDO:0014464	semapv:ManualMappingCuration	eva	2030-07-25
2-3 finger cutaneous syndactyly	disease	skos:closeMatch	HP:0001233	semapv:ManualMappingCuration	eva	2030-07-25
2-3 finger syndactyly	disease	skos:closeMatch	HP:0001233	semapv:ManualMappingCuration	eva	2030-07-25
